a2_1,a2v_1,a2_2,a2v_2
-1.52142,-0.0619902,-1.52141,-0.061989
-1.52448,-0.0611703,-1.52447,-0.0611703
-1.52749,-0.0602546,-1.52748,-0.0602558
-1.53045,-0.0592395,-1.53044,-0.0592419
-1.53336,-0.0581216,-1.53335,-0.0581252
-1.53621,-0.0568978,-1.53619,-0.0569027
-1.53898,-0.0555653,-1.53897,-0.0555716
-1.54169,-0.0541217,-1.54168,-0.0541293
-1.54432,-0.0525647,-1.54431,-0.0525736
-1.54686,-0.0508923,-1.54685,-0.0509025
-1.54932,-0.049103,-1.54931,-0.0491145
-1.55168,-0.0471953,-1.55167,-0.0472082
-1.55394,-0.0451682,-1.55393,-0.0451824
-1.55609,-0.0430209,-1.55608,-0.0430366
-1.55813,-0.0407531,-1.55812,-0.04077
-1.56004,-0.0383643,-1.56004,-0.0383826
-1.56184,-0.0358548,-1.56183,-0.0358744
-1.5635,-0.0332246,-1.56349,-0.0332456
-1.56502,-0.0304744,-1.56502,-0.0304967
-1.5664,-0.0276048,-1.5664,-0.0276283
-1.56763,-0.0246167,-1.56763,-0.0246415
-1.56871,-0.0215111,-1.56871,-0.0215371
-1.56962,-0.0182893,-1.56962,-0.0183164
-1.57037,-0.0149524,-1.57037,-0.0149808
-1.57094,-0.011502,-1.57095,-0.0115315
-1.57134,-0.00793967,-1.57135,-0.00797026
-1.57156,-0.00426691,-1.57156,-0.00429859
-1.57158,-0.00048547,-1.57159,-0.000518204
-1.57141,0.00340292,-1.57142,0.00336916
-1.57104,0.00739645,-1.57105,0.0073617
-1.57046,0.0114933,-1.57048,0.0114576
-1.56968,0.0156917,-1.5697,0.015655
-1.56868,0.0199896,-1.5687,0.019952
-1.56746,0.0243852,-1.56748,0.0243468
-1.56602,0.0288767,-1.56604,0.0288375
-1.56434,0.0334622,-1.56437,0.0334221
-1.56244,0.0381397,-1.56246,0.0380988
-1.56029,0.0429073,-1.56032,0.0428657
-1.5579,0.0477633,-1.55794,0.0477209
-1.55527,0.0527057,-1.5553,0.0526626
-1.55238,0.0577326,-1.55242,0.0576889
-1.54924,0.0628423,-1.54928,0.0627979
-1.54584,0.0680329,-1.54588,0.0679879
-1.54217,0.0733026,-1.54222,0.0732569
-1.53824,0.0786494,-1.53829,0.0786032
-1.53404,0.0840717,-1.53408,0.084025
-1.52956,0.0895676,-1.52961,0.0895203
-1.5248,0.0951352,-1.52485,0.0950874
-1.51976,0.100773,-1.51982,0.100725
-1.51444,0.106479,-1.5145,0.10643
-1.50883,0.112251,-1.50889,0.112201
-1.50292,0.118087,-1.50298,0.118038
-1.49672,0.123986,-1.49679,0.123936
-1.49023,0.129946,-1.49029,0.129896
-1.48343,0.135966,-1.4835,0.135915
-1.47633,0.142042,-1.4764,0.141991
-1.46892,0.148173,-1.46899,0.148122
-1.4612,0.154359,-1.46128,0.154307
-1.45317,0.160595,-1.45325,0.160544
-1.44483,0.166882,-1.44491,0.16683
-1.43616,0.173216,-1.43625,0.173164
-1.42718,0.179597,-1.42727,0.179545
-1.41788,0.186022,-1.41797,0.18597
-1.40826,0.192489,-1.40835,0.192437
-1.39831,0.198997,-1.3984,0.198945
-1.38803,0.205544,-1.38813,0.205491
-1.37743,0.212128,-1.37753,0.212075
-1.36649,0.218748,-1.36659,0.218695
-1.35522,0.225401,-1.35532,0.225348
-1.34361,0.232086,-1.34372,0.232033
-1.33167,0.238801,-1.33178,0.238748
-1.3194,0.245546,-1.31951,0.245493
-1.30678,0.252318,-1.3069,0.252265
-1.29382,0.259115,-1.29394,0.259062
-1.28053,0.265938,-1.28065,0.265885
-1.26689,0.272784,-1.26701,0.272731
-1.25291,0.279652,-1.25303,0.279599
-1.23858,0.286542,-1.23871,0.286489
-1.22391,0.293451,-1.22404,0.293399
-1.20889,0.300381,-1.20902,0.300328
-1.19352,0.307329,-1.19366,0.307276
-1.17781,0.314295,-1.17795,0.314243
-1.16174,0.321279,-1.16188,0.321227
-1.14533,0.32828,-1.14547,0.328228
-1.12856,0.335299,-1.12871,0.335247
-1.11145,0.342335,-1.1116,0.342283
-1.09398,0.349388,-1.09413,0.349337
-1.07615,0.356459,-1.07631,0.356407
-1.05798,0.363548,-1.05814,0.363496
-1.03944,0.370655,-1.0396,0.370603
-1.02055,0.37778,-1.02072,0.377729
-1.00131,0.384926,-1.00147,0.384875
-0.981704,0.392091,-0.981873,0.39204
-0.96174,0.399278,-0.961911,0.399227
-0.941416,0.406486,-0.94159,0.406435
-0.92073,0.413716,-0.920906,0.413665
-0.899682,0.420968,-0.899861,0.420918
